dtime,open,high,low,close
2019-12-11 15:00:00+00:00,108.716,108.723,108.711,108.714
2019-12-11 15:01:00+00:00,108.712,108.712,108.705,108.708
2019-12-11 15:02:00+00:00,108.710,108.718,108.710,108.715
2019-12-11 15:03:00+00:00,108.713,108.724,108.712,108.720
2019-12-11 15:04:00+00:00,108.722,108.724,108.719,108.721
2019-12-11 15:05:00+00:00,108.719,108.719,108.711,108.717
2019-12-11 15:06:00+00:00,108.714,108.714,108.712,108.712
2019-12-11 15:07:00+00:00,108.714,108.714,108.712,108.712
2019-12-11 15:08:00+00:00,108.710,108.712,108.707,108.712
2019-12-11 15:09:00+00:00,108.714,108.714,108.711,108.711
2019-12-11 15:10:00+00:00,108.708,108.713,108.708,108.713
2019-12-11 15:11:00+00:00,108.715,108.720,108.710,108.710
2019-12-11 15:12:00+00:00,108.707,108.712,108.704,108.704
2019-12-11 15:13:00+00:00,108.702,108.702,108.696,108.696
2019-12-11 15:14:00+00:00,108.694,108.696,108.694,108.696
2019-12-11 15:15:00+00:00,108.699,108.703,108.694,108.694
2019-12-11 15:16:00+00:00,108.696,108.696,108.693,108.696
2019-12-11 15:17:00+00:00,108.698,108.706,108.698,108.698
2019-12-11 15:18:00+00:00,108.701,108.701,108.696,108.696
2019-12-11 15:19:00+00:00,108.699,108.702,108.699,108.702
2019-12-11 15:20:00+00:00,108.700,108.702,108.698,108.702
2019-12-11 15:21:00+00:00,108.704,108.704,108.702,108.702
2019-12-11 15:22:00+00:00,108.700,108.700,108.692,108.694
2019-12-11 15:23:00+00:00,108.697,108.700,108.695,108.695
2019-12-11 15:24:00+00:00,108.692,108.692,108.690,108.690
2019-12-11 15:25:00+00:00,108.688,108.690,108.678,108.690
2019-12-11 15:26:00+00:00,108.692,108.692,108.690,108.690
2019-12-11 15:27:00+00:00,108.692,108.695,108.690,108.692
2019-12-11 15:28:00+00:00,108.690,108.690,108.680,108.685
2019-12-11 15:29:00+00:00,108.688,108.690,108.685,108.690
2019-12-11 15:30:00+00:00,108.688,108.690,108.685,108.688
2019-12-11 15:31:00+00:00,108.690,108.692,108.683,108.683
2019-12-11 15:32:00+00:00,108.680,108.683,108.678,108.682
2019-12-11 15:33:00+00:00,108.680,108.688,108.680,108.683
2019-12-11 15:34:00+00:00,108.680,108.685,108.680,108.682
2019-12-11 15:35:00+00:00,108.680,108.697,108.680,108.697
2019-12-11 15:36:00+00:00,108.700,108.700,108.680,108.682
2019-12-11 15:37:00+00:00,108.680,108.685,108.680,108.685
2019-12-11 15:38:00+00:00,108.683,108.685,108.680,108.683
2019-12-11 15:39:00+00:00,108.685,108.688,108.682,108.686
2019-12-11 15:40:00+00:00,108.684,108.689,108.679,108.689
2019-12-11 15:41:00+00:00,108.686,108.696,108.686,108.696
2019-12-11 15:42:00+00:00,108.694,108.698,108.694,108.696
2019-12-11 15:43:00+00:00,108.699,108.699,108.696,108.696
2019-12-11 15:44:00+00:00,108.694,108.694,108.689,108.691
2019-12-11 15:45:00+00:00,108.689,108.691,108.689,108.689
2019-12-11 15:46:00+00:00,108.686,108.688,108.686,108.686
2019-12-11 15:47:00+00:00,108.684,108.686,108.678,108.682
2019-12-11 15:48:00+00:00,108.679,108.682,108.677,108.677
